CMDLINE /home/lf/miniconda3/envs/maddpg/bin/python rdqn_train.py
MEM 883.027344 1721469293.5527
MEM 883.027344 1721469293.6529
MEM 883.339844 1721469293.7531
MEM 883.808594 1721469293.8533
MEM 884.121094 1721469293.9535
MEM 884.746094 1721469294.0536
MEM 885.214844 1721469294.1538
MEM 885.371094 1721469294.2540
MEM 885.996094 1721469294.3542
MEM 886.464844 1721469294.4544
MEM 886.464844 1721469294.5546
MEM 886.464844 1721469294.6548
MEM 886.621094 1721469294.7550
MEM 887.246094 1721469294.8552
MEM 887.246094 1721469294.9554
MEM 887.714844 1721469295.0555
MEM 888.496094 1721469295.1557
MEM 888.652344 1721469295.2559
MEM 889.277344 1721469295.3561
MEM 889.589844 1721469295.4563
MEM 889.746094 1721469295.5565
MEM 890.214844 1721469295.6567
MEM 890.996094 1721469295.7569
MEM 891.464844 1721469295.8571
MEM 892.089844 1721469295.9572
MEM 892.246094 1721469296.0574
MEM 892.714844 1721469296.1576
MEM 893.339844 1721469296.2578
MEM 893.964844 1721469296.3580
MEM 894.121094 1721469296.4582
MEM 894.277344 1721469296.5584
MEM 894.746094 1721469296.6587
MEM 894.902344 1721469296.7589
MEM 895.058594 1721469296.8590
MEM 896.152344 1721469296.9592
MEM 896.621094 1721469297.0594
MEM 897.089844 1721469297.1596
MEM 897.246094 1721469297.2598
MEM 897.246094 1721469297.3599
MEM 897.871094 1721469297.4601
MEM 898.496094 1721469297.5603
MEM 898.964844 1721469297.6604
MEM 899.121094 1721469297.7606
MEM 899.433594 1721469297.8608
MEM 899.433594 1721469297.9610
MEM 899.433594 1721469298.0611
MEM 900.058594 1721469298.1613
MEM 900.214844 1721469298.2615
MEM 900.683594 1721469298.3617
MEM 901.308594 1721469298.4619
MEM 901.621094 1721469298.5621
MEM 901.777344 1721469298.6623
MEM 901.933594 1721469298.7625
MEM 902.246094 1721469298.8626
MEM 902.402344 1721469298.9628
MEM 902.402344 1721469299.0630
MEM 902.402344 1721469299.1632
MEM 902.714844 1721469299.2634
MEM 903.496094 1721469299.3636
MEM 903.964844 1721469299.4638
MEM 904.433594 1721469299.5639
MEM 904.433594 1721469299.6641
MEM 904.746094 1721469299.7643
MEM 905.371094 1721469299.8645
MEM 905.527344 1721469299.9647
MEM 906.308594 1721469300.0649
MEM 906.308594 1721469300.1651
MEM 906.621094 1721469300.2652
MEM 906.933594 1721469300.3654
MEM 907.714844 1721469300.4656
MEM 908.183594 1721469300.5658
MEM 908.183594 1721469300.6659
MEM 908.496094 1721469300.7661
MEM 908.496094 1721469300.8663
MEM 908.496094 1721469300.9665
MEM 908.496094 1721469301.0667
MEM 908.808594 1721469301.1669
MEM 908.808594 1721469301.2671
MEM 908.808594 1721469301.3672
MEM 908.808594 1721469301.4674
MEM 909.277344 1721469301.5676
MEM 909.277344 1721469301.6678
MEM 909.902344 1721469301.7680
MEM 909.902344 1721469301.8682
MEM 909.902344 1721469301.9683
MEM 909.902344 1721469302.0685
MEM 909.902344 1721469302.1687
MEM 910.371094 1721469302.2688
MEM 910.527344 1721469302.3690
MEM 910.527344 1721469302.4693
MEM 910.527344 1721469302.5695
MEM 910.527344 1721469302.6697
MEM 910.683594 1721469302.7699
MEM 910.839844 1721469302.8702
MEM 910.839844 1721469302.9704
MEM 910.996094 1721469303.0706
MEM 911.308594 1721469303.1709
MEM 911.777344 1721469303.2711
MEM 911.777344 1721469303.3713
MEM 911.933594 1721469303.4715
MEM 912.402344 1721469303.5717
MEM 912.871094 1721469303.6719
MEM 912.871094 1721469303.7722
MEM 912.871094 1721469303.8724
MEM 912.871094 1721469303.9726
MEM 912.871094 1721469304.0729
MEM 912.871094 1721469304.1731
MEM 913.339844 1721469304.2733
MEM 913.496094 1721469304.3735
MEM 913.964844 1721469304.4738
MEM 913.964844 1721469304.5740
MEM 913.964844 1721469304.6743
MEM 914.121094 1721469304.7745
MEM 914.121094 1721469304.8748
MEM 914.589844 1721469304.9750
MEM 915.058594 1721469305.0752
MEM 915.683594 1721469305.1755
MEM 915.683594 1721469305.2757
MEM 915.683594 1721469305.3760
MEM 915.839844 1721469305.4762
MEM 916.152344 1721469305.5764
MEM 916.152344 1721469305.6767
MEM 916.308594 1721469305.7769
MEM 916.308594 1721469305.8771
MEM 916.308594 1721469305.9773
MEM 916.621094 1721469306.0775
MEM 917.402344 1721469306.1778
MEM 917.402344 1721469306.2780
MEM 918.027344 1721469306.3782
MEM 918.339844 1721469306.4784
MEM 918.496094 1721469306.5785
MEM 918.808594 1721469306.6787
MEM 918.964844 1721469306.7789
MEM 919.121094 1721469306.8790
MEM 920.214844 1721469306.9792
MEM 920.214844 1721469307.0793
MEM 920.683594 1721469307.1795
MEM 921.308594 1721469307.2797
MEM 921.308594 1721469307.3800
MEM 921.621094 1721469307.4802
MEM 922.089844 1721469307.5803
MEM 922.089844 1721469307.6805
MEM 922.089844 1721469307.7807
MEM 922.089844 1721469307.8808
MEM 922.089844 1721469307.9810
MEM 922.402344 1721469308.0811
MEM 922.714844 1721469308.1813
MEM 923.027344 1721469308.2814
MEM 923.027344 1721469308.3816
MEM 923.183594 1721469308.4817
MEM 923.183594 1721469308.5819
MEM 923.339844 1721469308.6821
MEM 923.339844 1721469308.7822
MEM 923.339844 1721469308.8824
MEM 923.808594 1721469308.9825
MEM 923.964844 1721469309.0827
MEM 923.964844 1721469309.1829
MEM 924.433594 1721469309.2830
